Date,Value
2006-01-01,113.7
2006-02-01,112.8
2006-03-01,112.7
2006-04-01,115.1
2006-05-01,117.2
2006-06-01,117.3
2006-07-01,118.2
2006-08-01,118.8
2006-09-01,116.2
2006-10-01,113.3
2006-11-01,113.8
2006-12-01,115.1
2007-01-01,113.7
2007-02-01,114.1
2007-03-01,115.9
2007-04-01,117.5
2007-05-01,118.6
2007-06-01,120
2007-07-01,121.5
2007-08-01,121.1
2007-09-01,121.8
2007-10-01,123.6
2007-11-01,127.5
2007-12-01,127.3
2008-01-01,129.2
2008-02-01,129.5
2008-03-01,133.5
2008-04-01,137.3
2008-05-01,141.2
2008-06-01,145.5
2008-07-01,147.5
2008-08-01,143
2008-09-01,137.8
2008-10-01,129.6
2008-11-01,120
2008-12-01,114.5
2009-01-01,113
2009-02-01,113
2009-03-01,113.6
2009-04-01,114.8
2009-05-01,116.8
2009-06-01,120
2009-07-01,119.3
2009-08-01,121.1
2009-09-01,121.3
2009-10-01,122.3
2009-11-01,124.1
2009-12-01,124.4
2010-01-01,125.9
2010-02-01,125.8
2010-03-01,126.3
2010-04-01,127.7
2010-05-01,126.7
2010-06-01,125.2
2010-07-01,125.2
2010-08-01,125.7
2010-09-01,125.7
2010-10-01,127.1
2010-11-01,129.2
2010-12-01,131
2011-01-01,133
2011-02-01,135.3
2011-03-01,139.3
2011-04-01,142.9
2011-05-01,143.1
2011-06-01,142.2
2011-07-01,142.4
2011-08-01,141.9
2011-09-01,141.7
2011-10-01,141.2
2011-11-01,142.2
2011-12-01,142.2
2012-01-01,142.2
2012-02-01,142.2
2012-03-01,144.2
2012-04-01,144.1
2012-05-01,142
2012-06-01,138.7
2012-07-01,137.7
2012-08-01,139.4
2012-09-01,140.8
2012-10-01,141.2
2012-11-01,140.2
2012-12-01,139.4
2013-01-01,140.1
2013-02-01,141.3
2013-03-01,141.2
2013-04-01,140.2
2013-05-01,139.4
2013-06-01,138.8
2013-07-01,138.9
2013-08-01,139.4
2013-09-01,139.8
2013-10-01,138.9
2013-11-01,137.7
2013-12-01,137.8
2014-01-01,138.3
2014-02-01,139.8
2014-03-01,140.5
2014-04-01,139.7
2014-05-01,140.1
2014-06-01,140.5
2014-07-01,140.1
2014-08-01,139
2014-09-01,137.9
2014-10-01,136
2014-11-01,133.5
2014-12-01,130.1
2015-01-01,126
2015-02-01,125.5
2015-03-01,125.3
2015-04-01,125.1
2015-05-01,126.5
2015-06-01,126.6
2015-07-01,125.4
2015-08-01,123.2
2015-09-01,121.9
2015-10-01,121.5
2015-11-01,120.8
2015-12-01,119.3
2016-01-01,117.8
2016-02-01,117.2
2016-03-01,117.7
2016-04-01,118.5
2016-05-01,119.9
2016-06-01,120.7
2016-07-01,120.8
2016-08-01,120.5
2016-09-01,120.6
2016-10-01,121.1
2016-11-01,120.7
