date,prepaypenalty,maturity,rate,size,volume
4/1/2003,16.5,124,3.77,449,11406
7/1/2003,18.1,70,3.09,356,14586
10/1/2003,44.9,48,2.83,532,21022
1/1/2004,30.4,87,3.06,602,21472
4/1/2004,23.5,68,2.97,600,22359
7/1/2004,20,80,3.36,593,23780
10/1/2004,18.5,116,3.99,755,18414
1/1/2005,8.8,60,4.67,542,11759
4/1/2005,21.6,73,5.05,630,15649
7/1/2005,30.4,96,5.14,767,19164
10/1/2005,17.6,107,6.28,587,12003
1/1/2006,21.5,115,6.77,573,13968
4/1/2006,18.3,146,7.17,668,17864
7/1/2006,20.2,91,7.41,570,14135
10/1/2006,22.4,114,7.29,694,15439
1/1/2007,21.1,99,7.33,844,12952
4/1/2007,20.8,71,7.23,589,14601
7/1/2007,15.4,76,6.97,732,17614
10/1/2007,29.7,126,6.27,617,14993
1/1/2008,28.1,127,5.01,614,15488
4/1/2008,16.9,124,4.19,713,17933
7/1/2008,19.2,122,4.2,771,20214
10/1/2008,30,91,3.61,1056,28095
1/1/2009,22.4,125,2.49,918,19672
4/1/2009,30.7,143,2.36,729,14974
7/1/2009,38.8,94,2.35,987,20346
10/1/2009,33.5,98,2.39,855,15947
1/1/2010,36.8,98,2.57,805,15924
4/1/2010,21.9,143,2.79,883,16968
7/1/2010,30,70,2.63,748,13508
10/1/2010,32.4,95,2.89,949,17200
1/1/2011,33.1,92,2.52,1209,20743
4/1/2011,38.4,69,2.65,868,16444
7/1/2011,22.3,190,2.74,1228,23815
10/1/2011,51.9,396,2.9,1144,14797
1/1/2012,28.1,105,3.18,696,12828
4/1/2012,37.6,72,2.8,803,16584
7/1/2012,24.5,61,2.93,855,16248
10/1/2012,16.8,44,2.76,967,23441
1/1/2013,13.6,40,2.59,924,24532
4/1/2013,17.1,77,2.82,786,18926
7/1/2013,12.2,41,2.57,990,25505
10/1/2013,12.8,64,2.44,999,26414
1/1/2014,17.4,61,2.29,1243,39688
4/1/2014,20,96,2.48,895,21772
7/1/2014,17.7,63,2.38,1024,24406
10/1/2014,13.4,62,2.24,1442,37690
1/1/2015,12.9,72,2.26,1715,37374
4/1/2015,17.8,65,2.47,1151,24620
7/1/2015,16.9,76,2.3,1405,30586
10/1/2015,11.7,77,2.31,1534,36840
1/1/2016,13.6,66,2.43,1317,36316
4/1/2016,20.6,93,2.63,1227,24803
7/1/2016,14.5,66,2.41,1460,40682
