"","Aaa","Aa","A","Baa","Ba","B","Caa","C","D"
"Aaa",-0.0886,0.082,0.0063,0,3e-04,0,0,0,0
"Aa",0.0091,-0.0994,0.0843,0.0049,6e-04,2e-04,1e-04,0,2e-04
"A",6e-04,0.0248,-0.0878,0.0547,0.0057,0.0011,3e-04,0,6e-04
"Baa",0.00039,0.0017,0.0411,-0.17739,0.0405,0.0755,0.0163,2e-04,0.0017
"Ba",1e-04,5e-04,0.0035,0.0552,-0.1486,0.0722,0.0058,7e-04,0.0106
"B",1e-04,3e-04,0.0011,0.0032,0.0458,-0.153,0.0581,0.0059,0.0385
"Caa",1e-04,2e-04,2e-04,0.0012,0.0038,0.087,-0.2631,0.0372,0.1334
"C",0,0,0,0,0.004,0.0203,0.0938,-0.4974,0.3793
"D",0,0,0,0,0,0,0,0,0
