country,sanitation.avg
Afghanistan,25.396
Albania,85.36153846
Algeria,84.21538462
American Samoa,61.73076923
Andorra,100
Angola,36.00769231
Anguilla,94.68095238
Antigua and Barbuda,84.59090909
Argentina,92.16538462
Armenia,89.44583333
Aruba,98.08076923
Australia,100
Austria,100
Azerbaijan,73.55909091
Bahamas,89.91818182
Bahrain,99.13846154
Bangladesh,47.89230769
Barbados,88.41538462
Belarus,94.73076923
Belgium,99.5
Belize,84.10384615
Benin,13.3
Bermuda,
Bhutan,34.94615385
Bolivia,39.87692308
Bosnia and Herzegovina,94.87727273
Botswana,53.31538462
Brazil,75.67307692
British Virgin Islands,97.5
Brunei Darussalam,
Bulgaria,85.71153846
Burkina Faso,13.26538462
Burundi,44.95769231
Cambodia,20.92692308
Cameroon,42.83846154
Canada,99.8
Cape Verde,51.3125
Cayman Islands,95.55769231
Central African Republic,18.10384615
Chad,10.15384615
Channel Islands,
Chile,92.91538462
China,61.93076923
"China, Hong Kong Special Administrative Region",
"China, Macao Special Administrative Region",
Colombia,75.63461538
Comoros,27.04615385
Congo,13.63684211
Cook Islands,94.37142857
Costa Rica,91.93846154
Cote d'Ivoire,18.53461538
Croatia,97.21923077
Cuba,87.85769231
Cyprus,100
Czech Republic,99.1
Democratic Republic of the Congo,23.67692308
Denmark,99.6
Djibouti,56.73461538
Dominica,81.1
Dominican Republic,78.62307692
Ecuador,72.06923077
Egypt,86.33461538
El Salvador,64
Equatorial Guinea,78.07727273
Eritrea,12.27692308
Estonia,97.03076923
Ethiopia,12.76538462
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,77.38461538
Finland,97.43461538
France,98.7
French Guiana,84.20869565
French Polynesia,98.14615385
Gabon,39.82727273
Gambia,59.4625
Georgia,93.45769231
Germany,99.2
Ghana,11.12307692
Greece,96.19230769
Greenland,100
Grenada,98
Guadeloupe,96.06923077
Guam,89.28846154
Guatemala,56.18846154
Guinea,14.18846154
Guinea-Bissau,15.43636364
Guyana,80.10384615
Haiti,22.51538462
Honduras,66.55769231
Hungary,98
Iceland,98.8
India,28.14230769
Indonesia,49.07692308
Iran (Islamic Republic of),81.09230769
Iraq,77.984
Ireland,89.66538462
Israel,100
Italy,99.5
Jamaica,80.89615385
Japan,100
Jordan,97.99615385
Kazakhstan,96.93846154
Kenya,27.45384615
Kiribati,34.8
"Korea, Democratic People's Republic of",67.5625
"Korea, Republic of",100
Kuwait,100
Kyrgyzstan,92.08846154
Lao People's Democratic Republic,42.81818182
Latvia,84.13157895
Lebanon,81.68333333
Lesotho,26.08181818
Liberia,14.40454545
Libyan Arab Jamahiriya,96.53076923
Liechtenstein,
Lithuania,87.55384615
Luxembourg,97.68076923
Madagascar,10.60384615
Malawi,35.33461538
Malaysia,91.97307692
Maldives,83.64615385
Mali,19.18076923
Malta,100
Marshall Islands,71.24615385
Martinique,91.7
Mauritania,27.03076923
Mauritius,91.88076923
Mayotte,
Mexico,76.43076923
"Micronesia, Federated States of",38.66153846
Monaco,100
Mongolia,51.73333333
Montenegro,91.92777778
Montserrat,77.78888889
Morocco,66.07307692
Mozambique,15.27692308
Myanmar,66.496
Namibia,28.86153846
Nauru,65.66538462
Nepal,25.54230769
Netherlands,97.98461538
Netherlands Antilles,
New Caledonia,100
New Zealand,
Nicaragua,56.84230769
Niger,7.334615385
Nigeria,33.26153846
Niue,85.08
Northern Mariana Islands,74.83461538
Norway,98.1
Oman,90.62307692
Pakistan,41.65769231
Palau,83.18846154
Panama,67.73846154
Papua New Guinea,19.30384615
Paraguay,71.66538462
Peru,65.01538462
Philippines,65.46538462
Poland,91.33
Portugal,96.73076923
Puerto Rico,99.3
Qatar,99.05769231
Republic of Moldova,73.6875
Reunion,98.08076923
Romania,74.81923077
Russian Federation,72.42692308
Rwanda,48.72692308
Saint Kitts and Nevis,87.3
Saint Lucia,84.47692308
Saint Vincent and the Grenadines,71.11111111
Samoa,92.08461538
San Marino,
Sao Tome and Principe,26.36818182
Saudi Arabia,97.13461538
Senegal,41.49230769
Serbia,96.73846154
Seychelles,98.4
Sierra Leone,11.65384615
Singapore,99.73461538
Slovakia,98.86153846
Slovenia,99.1
Solomon Islands,27.575
Somalia,22.16315789
South Africa,58.70384615
South Sudan,6.66
Spain,99.9
Sri Lanka,83.71153846
State of Palestine,89.532
Sudan,25.016
Suriname,80.27727273
Swaziland,52.99230769
Sweden,99.3
Switzerland,99.9
Syrian Arab Republic,90.11538462
Tajikistan,91.87391304
Thailand,91.36153846
The former Yugoslav Republic of Macedonia,90.375
Timor-Leste,38.30952381
Togo,11.47692308
Tokelau,66.06538462
Tonga,92.61923077
Trinidad and Tobago,90.84230769
Tunisia,83.31538462
Turkey,89.18076923
Turkmenistan,62.32307692
Turks and Caicos Islands,81.4
Tuvalu,78.99583333
Uganda,16.19615385
Ukraine,95.10909091
United Arab Emirates,97.45
United Kingdom,99.2
United Republic of Tanzania,10.44230769
United States,99.78461538
United States Virgin Islands,96.4
Uruguay,94
Uzbekistan,92.94230769
Vanuatu,46.77916667
Venezuela,89.15769231
Viet Nam,57.13461538
Western Sahara,
Yemen,40.46086957
Zambia,41.58076923
Zimbabwe,38.70384615
