PRICE,MATURITY
99.991,18
99.795,46
99.769,77
99.846,107
99.673,138
99.586,168
99.62,199
99.355,291
99.037,321
98.943,352
99.029,368
98.994,383
98.794,411
98.837,427
98.635,442
98.667,457
98.645,472
98.578,488
98.578,503
98.488,518
98.475,533
98.336,549
98.26,564
98.251,580
98.158,610
97.976,641
97.969,656
97.88,671
97.976,686
97.783,702
97.466,733
97.457,748
97.369,761
97.263,792
96.9,822
96.921,837
96.786,853
96.671,883
96.4,914
96.413,929
96.295,945
96.171,975
95.85,1006
95.912,1021
95.971,1036
95.782,1067
95.476,1098
95.354,1113
95.431,1127
95.186,1158
94.925,1188
94.735,1203
94.751,1219
94.696,1249
94.495,1280
94.129,1295
94.269,1311
93.883,1341
93.528,1372
93.522,1387
93.397,1402
93.103,1433
92.957,1464
92.695,1479
92.583,1492
92.192,1523
92.288,1553
91.988,1568
92.002,1584
91.852,1614
91.538,1645
91.404,1660
91.516,1676
91.271,1706
91.121,1737
90.766,1752
90.763,1767
90.609,1798
90.144,1829
89.987,1844
89.999,1857
90.256,1888
89.538,1918
89.208,1933
89.156,1949
89.121,1979
88.91,2010
88.588,2025
88.435,2041
88.504,2071
87.879,2117
88.108,2132
87.959,2163
87.276,2209
86.577,2298
85.962,2390
85.679,2467
85.273,2482
84.814,2528
84.635,2574
83.945,2664
83.156,2756
82.513,2848
81.779,2940
81.094,3029
80.358,3121
79.696,3213
78.956,3305
78.396,3394
77.652,3486
77.017,3578
76.342,3670
75.627,3759
75.077,3851
74.506,3943
73.852,4035
73.252,4125
72.708,4217
72.145,4309
71.509,4401
70.869,4490
70.327,4582
69.798,4674
69.186,4766
68.593,4855
67.943,4947
67.553,5039
66.975,5131
66.29,5220
65.728,5312
65.182,5404
64.624,5496
64.086,5586
63.537,5678
62.998,5770
62.454,5862
61.919,5951
61.379,6043
60.853,6135
60.307,6227
59.771,6316
59.23,6408
58.697,6500
58.155,6592
57.627,6681
57.059,6773
56.501,6865
56.146,6957
55.596,7047
55.089,7139
54.57,7231
54.032,7323
53.505,7412
52.955,7504
52.547,7596
52.083,7688
51.528,7777
51.069,7869
50.65,7961
50.196,8053
49.693,8142
49.261,8234
48.766,8326
48.38,8418
47.894,8508
47.422,8600
46.984,8692
46.56,8784
46.118,8873
45.668,8965
45.236,9057
44.917,9149
44.553,9238
44.233,9330
43.89,9422
43.389,9514
43.183,9603
42.686,9695
42.362,9787
41.994,9879
41.931,9969
41.625,10061
41.345,10153
40.983,10245
40.612,10334
40.297,10426
40.117,10518
39.842,10610
39.621,10699
39.415,10791
39.302,10883
